iter	Passed	Remaining
0	0	754
1	1	693
2	1	658
3	2	635
4	3	626
5	3	626
6	4	618
7	4	618
8	5	618
9	6	617
10	6	618
11	7	618
12	8	630
13	9	645
14	10	661
15	10	656
16	11	656
17	11	652
18	12	651
19	13	647
20	13	647
21	14	644
22	15	642
23	15	638
24	16	635
25	16	633
26	17	631
27	18	626
28	18	623
29	19	620
30	19	618
31	20	617
32	20	614
33	21	610
34	22	611
35	22	608
36	23	606
37	23	604
38	24	602
39	25	600
40	25	598
41	26	596
42	26	594
43	27	592
44	27	591
45	28	589
46	29	588
47	29	588
48	30	586
49	30	585
50	31	584
51	31	583
52	32	581
53	33	580
54	33	579
55	34	578
56	34	576
57	35	575
58	36	575
59	36	573
60	37	572
61	37	571
62	38	571
63	39	571
64	39	569
65	40	568
66	40	567
67	41	562
68	41	561
69	42	560
70	42	559
71	43	559
72	43	558
73	44	557
74	45	558
75	45	557
76	46	555
77	46	554
78	47	553
79	48	553
80	48	552
81	49	551
82	49	550
83	50	549
84	50	546
85	51	545
86	51	541
87	52	541
88	52	540
89	53	540
90	53	539
91	54	538
92	55	537
93	55	537
94	56	537
95	56	536
96	57	535
97	58	535
98	58	536
99	59	535
100	60	534
101	60	531
102	60	530
103	61	530
104	62	530
105	62	529
106	63	529
107	63	528
108	64	527
109	65	526
110	65	526
111	66	525
112	66	524
113	67	523
114	67	523
115	68	521
116	69	521
117	69	520
118	70	518
119	70	518
120	71	518
121	71	517
122	72	514
123	72	513
124	73	513
125	73	512
126	74	511
127	74	509
128	75	508
129	75	507
130	76	507
131	77	506
132	77	507
133	78	506
134	78	506
135	79	505
136	80	505
137	80	504
138	81	503
139	81	502
140	82	502
141	82	501
142	83	500
143	84	500
144	84	500
145	85	499
146	85	498
147	86	498
148	87	497
149	87	497
150	88	497
151	88	496
152	89	495
153	90	495
154	90	495
155	91	494
156	91	493
157	92	492
158	92	491
159	93	490
160	94	490
161	94	489
162	95	488
163	95	488
164	96	487
165	96	486
166	97	486
167	98	485
168	98	484
169	99	483
170	99	483
171	100	482
172	100	482
173	101	481
174	101	480
175	102	480
176	103	479
177	103	479
178	104	478
179	104	477
180	105	475
181	105	475
182	106	474
183	106	473
184	107	472
185	107	471
186	108	471
187	108	470
188	109	470
189	110	469
190	110	468
191	111	468
192	111	467
193	112	466
194	112	466
195	113	465
196	114	464
197	114	464
198	115	463
199	115	463
200	116	462
201	116	462
202	117	461
203	118	460
204	118	460
205	119	459
206	119	458
207	120	458
208	120	457
209	121	456
210	121	456
211	122	456
212	123	455
213	123	454
214	124	454
215	125	453
216	125	453
217	126	452
218	126	451
219	127	451
220	127	450
221	128	449
222	128	448
223	129	448
224	129	447
225	130	447
226	131	446
227	131	445
228	132	444
229	132	444
230	133	443
231	133	442
232	134	442
233	134	441
234	135	441
235	136	440
236	136	439
237	137	439
238	137	438
239	138	437
240	138	437
241	139	436
242	139	435
243	140	435
244	141	434
245	141	433
246	142	433
247	142	432
248	143	431
249	143	431
250	144	430
251	144	429
252	145	429
253	145	428
254	146	427
255	146	427
256	147	426
257	148	425
258	148	425
259	149	424
260	149	423
261	150	423
262	150	422
263	151	421
264	151	421
265	152	420
266	152	419
267	153	419
268	154	418
269	154	417
270	155	417
271	155	416
272	156	416
273	156	415
274	157	414
275	157	414
276	158	413
277	158	412
278	159	412
279	160	411
280	160	411
281	161	410
282	161	409
283	162	408
284	162	408
285	163	407
286	163	406
287	164	405
288	164	404
289	165	404
