iter	Passed	Remaining
0	62	62914
1	63	31824
2	64	21501
3	65	16300
4	66	13185
5	67	11102
6	67	9623
7	68	8493
8	69	7618
9	69	6929
10	70	6359
11	71	5888
12	72	5475
13	72	5129
14	73	4823
15	74	4558
16	74	4324
17	75	4111
18	75	3922
19	76	3752
20	77	3599
21	77	3459
22	78	3339
23	79	3228
24	80	3131
25	81	3035
26	81	2946
27	82	2857
28	82	2775
29	83	2704
30	84	2634
31	84	2569
32	85	2509
33	86	2454
34	87	2398
35	87	2349
36	88	2298
37	88	2251
38	89	2207
39	90	2167
40	90	2126
41	91	2088
42	92	2054
43	92	2018
44	93	1984
45	94	1953
46	95	1927
47	95	1902
48	96	1875
49	97	1851
50	98	1825
51	98	1800
52	99	1775
53	100	1754
54	100	1733
55	101	1710
56	102	1690
57	102	1671
58	103	1652
59	104	1635
60	105	1617
61	105	1599
62	106	1583
63	107	1567
64	107	1550
65	108	1534
66	109	1524
67	110	1509
68	110	1495
69	111	1482
70	112	1469
71	113	1456
72	113	1443
73	114	1431
74	115	1418
75	115	1406
76	116	1394
77	116	1382
78	117	1372
79	118	1360
80	118	1349
81	119	1339
82	119	1325
83	121	1321
84	122	1314
85	123	1307
86	123	1298
87	124	1290
88	125	1281
89	126	1274
90	126	1266
91	127	1258
92	128	1249
93	128	1241
94	129	1233
95	130	1226
96	130	1218
97	131	1213
98	132	1207
99	133	1199
100	133	1191
101	134	1183
102	135	1175
103	135	1168
104	136	1160
105	136	1152
106	137	1146
107	138	1141
108	138	1136
109	139	1130
110	140	1124
111	141	1118
112	141	1112
113	142	1105
114	142	1098
115	143	1092
116	143	1085
117	144	1080
118	145	1075
119	145	1068
120	146	1062
121	146	1055
122	147	1050
123	147	1044
124	148	1037
125	148	1032
126	149	1026
127	149	1020
128	150	1015
129	151	1010
130	151	1006
131	152	1002
132	153	999
133	153	995
134	154	990
135	155	985
136	155	980
137	156	975
138	156	971
139	157	966
140	157	961
141	158	955
142	158	951
143	159	947
144	159	942
145	160	938
146	160	933
147	161	929
148	161	925
149	162	920
150	162	916
151	163	912
152	163	907
153	164	903
154	164	899
155	165	895
156	166	891
157	166	887
158	167	884
159	168	882
160	168	878
161	169	874
162	169	871
163	170	868
164	170	864
165	171	861
166	172	858
167	172	855
168	173	852
169	173	849
170	174	846
171	175	843
172	175	839
173	176	836
174	176	833
175	177	830
176	177	827
177	178	824
178	179	821
179	179	818
180	180	815
181	180	812
182	181	810
183	182	808
184	183	806
185	183	803
186	184	800
187	184	797
188	185	795
189	185	792
190	186	789
191	186	786
192	187	784
193	188	781
194	188	779
195	189	776
196	189	774
197	190	771
198	191	769
199	191	766
200	192	764
201	192	762
202	193	759
203	194	757
204	194	754
205	195	752
206	195	750
207	196	749
208	197	747
209	198	745
210	198	743
211	199	740
212	199	738
213	200	735
214	200	733
215	201	731
216	201	728
217	202	726
218	202	723
219	203	721
220	204	719
221	204	717
222	205	715
223	205	712
224	206	710
225	206	708
226	207	706
227	207	704
228	208	702
229	209	700
230	209	699
231	210	697
232	211	695
233	211	693
234	212	691
235	213	689
236	213	687
237	214	685
238	214	683
239	215	681
240	215	679
241	216	677
242	216	675
243	217	673
244	218	671
245	218	669
246	219	668
247	219	666
248	220	664
249	220	662
250	221	661
251	222	659
252	222	657
253	223	655
254	223	654
255	224	653
256	225	652
257	226	650
258	226	649
259	227	647
260	228	645
261	228	644
262	229	642
263	229	640
264	230	638
265	230	636
266	231	634
267	231	633
268	232	631
269	233	630
270	233	628
271	234	627
272	234	625
273	235	623
274	236	622
275	236	620
276	237	619
277	238	618
278	238	616
279	239	615
280	240	614
281	240	612
282	241	611
283	241	609
284	242	608
285	242	606
286	243	604
287	244	603
288	244	601
289	245	600
290	245	599
291	246	597
292	247	596
293	247	594
294	248	593
295	248	591
296	249	590
297	249	588
298	250	587
299	251	585
300	251	584
301	252	583
302	253	582
303	253	581
304	254	580
305	255	578
306	255	577
307	256	576
308	257	575
309	257	573
310	258	572
311	258	570
312	259	569
313	260	568
314	260	566
315	261	565
316	261	563
